Date,,US Large-Cap Balanced,US Mid-Cap Balanced,US Small-Cap Balanced,US Large-Cap Value,US Small-Cap Value,US Real Estate,International Large-Cap,International Small-Cap,Emerging Markets,Treasury Short-Term,Gold
2010-03-31,US Large-Cap Balanced,1.0,0.9110324203750052,0.867798870502278,0.9246945943722511,0.8448253503188768,0.806624325320703,0.8830393658827458,0.8701514789296556,0.8847439221779829,-0.04087247892275752,0.6790556877279764
2010-03-31,US Mid-Cap Balanced,0.9110324203750052,1.0,0.945944226890238,0.8934433658845105,0.9207962513737991,0.8231878061078144,0.8524673262180199,0.8306443694790241,0.8409574615741815,-0.049332872918725096,0.6085139989039455
2010-03-31,US Small-Cap Balanced,0.867798870502278,0.945944226890238,1.0,0.8349673865411501,0.9867822180722261,0.8137367345837563,0.8139624219152993,0.7923581941931566,0.8039532544012395,-0.04036978273994263,0.5148294087931631
2010-03-31,US Large-Cap Value,0.9246945943722511,0.8934433658845105,0.8349673865411501,1.0,0.8107457823411103,0.8327478204915918,0.8515222120139925,0.847592134849236,0.8352721952527287,-0.09527767357489715,0.6159924472324679
2010-03-31,US Small-Cap Value,0.8448253503188768,0.9207962513737991,0.9867822180722261,0.8107457823411103,1.0,0.798947989563927,0.8053132811258996,0.7726087979829772,0.7776228718135993,-0.015961526731393557,0.49920802406913145
2010-03-31,US Real Estate,0.806624325320703,0.8231878061078144,0.8137367345837563,0.8327478204915918,0.798947989563927,1.0,0.7195634340837769,0.6714262597807801,0.6875044154497949,-0.13311593740184555,0.5074657812872295
2010-03-31,International Large-Cap,0.8830393658827458,0.8524673262180199,0.8139624219152993,0.8515222120139925,0.8053132811258996,0.7195634340837769,1.0,0.9588536646569831,0.9027682098570664,-0.03729355014649931,0.7448365223698196
2010-03-31,International Small-Cap,0.8701514789296556,0.8306443694790241,0.7923581941931566,0.847592134849236,0.7726087979829772,0.6714262597807801,0.9588536646569831,1.0,0.8888647564071337,0.024068317513238117,0.7115277222437284
2010-03-31,Emerging Markets,0.8847439221779829,0.8409574615741815,0.8039532544012395,0.8352721952527287,0.7776228718135993,0.6875044154497949,0.9027682098570664,0.8888647564071337,1.0,-0.06564149959565974,0.6963487874502294
2010-03-31,Treasury Short-Term,-0.04087247892275752,-0.049332872918725096,-0.04036978273994263,-0.09527767357489715,-0.015961526731393557,-0.13311593740184555,-0.03729355014649931,0.024068317513238117,-0.06564149959565974,1.0,-0.10483138013514792
2010-03-31,Gold,0.6790556877279764,0.6085139989039455,0.5148294087931631,0.6159924472324679,0.49920802406913145,0.5074657812872295,0.7448365223698196,0.7115277222437284,0.6963487874502294,-0.10483138013514792,1.0
2010-06-30,US Large-Cap Balanced,1.0,0.9610524644976723,0.9373735091061912,0.9629583680878419,0.9355595175114884,0.8811809841030642,0.9310062312753703,0.9129523506452204,0.9136051390353784,-0.025814022252363154,-0.18961935168371263
2010-06-30,US Mid-Cap Balanced,0.9610524644976723,1.0,0.9836618053370201,0.9308550600149061,0.980583963423646,0.9072123485129026,0.8972098056811395,0.9094621682124489,0.8998189597936409,-0.02197669716903612,-0.12854764047555448
2010-06-30,US Small-Cap Balanced,0.9373735091061912,0.9836618053370201,1.0,0.9050361018596903,0.9973234824358095,0.890771493731041,0.8599063143878205,0.8874805368375827,0.8569409398522627,-0.06195417585795784,-0.11676092288244279
2010-06-30,US Large-Cap Value,0.9629583680878419,0.9308550600149061,0.9050361018596903,1.0,0.9035025401587093,0.8631942555295247,0.9221962837535894,0.8958111955614165,0.9174840596234963,-0.06597847815702611,-0.18993576184952335
2010-06-30,US Small-Cap Value,0.9355595175114884,0.980583963423646,0.9973234824358095,0.9035025401587093,1.0,0.8938864015757579,0.854726471087142,0.8856764504620152,0.8548238139940382,-0.05861231524980713,-0.1032046417610188
2010-06-30,US Real Estate,0.8811809841030642,0.9072123485129026,0.890771493731041,0.8631942555295247,0.8938864015757579,1.0,0.8484326656418967,0.8595811798998462,0.8395579166671917,-0.05196775537928939,-0.12624566226031794
2010-06-30,International Large-Cap,0.9310062312753703,0.8972098056811395,0.8599063143878205,0.9221962837535894,0.854726471087142,0.8484326656418967,1.0,0.9595889347818862,0.9535998865001527,0.005756612533766887,-0.20605952426735394
2010-06-30,International Small-Cap,0.9129523506452204,0.9094621682124489,0.8874805368375827,0.8958111955614165,0.8856764504620152,0.8595811798998462,0.9595889347818862,1.0,0.9369938014918632,-0.011117397932416262,-0.14420276118297273
2010-06-30,Emerging Markets,0.9136051390353784,0.8998189597936409,0.8569409398522627,0.9174840596234963,0.8548238139940382,0.8395579166671917,0.9535998865001527,0.9369938014918632,1.0,0.027411842344924428,-0.15251047942387974
2010-06-30,Treasury Short-Term,-0.025814022252363154,-0.02197669716903612,-0.06195417585795784,-0.06597847815702611,-0.05861231524980713,-0.05196775537928939,0.005756612533766887,-0.011117397932416262,0.027411842344924428,1.0,-0.17124445635067023
2010-06-30,Gold,-0.18961935168371263,-0.12854764047555448,-0.11676092288244279,-0.18993576184952335,-0.1032046417610188,-0.12624566226031794,-0.20605952426735394,-0.14420276118297273,-0.15251047942387974,-0.17124445635067023,1.0
2010-09-30,US Large-Cap Balanced,1.0,0.9573098644298262,0.9163559851350649,0.9658277001915282,0.9122912230815021,0.8840971847681179,0.908915311045974,0.8852676046643354,0.8705914269320283,0.11351117852749706,0.13408695717600902
2010-09-30,US Mid-Cap Balanced,0.9573098644298262,1.0,0.9734076085566491,0.9350545250603133,0.9664547397873345,0.8960681548416465,0.8717616548950231,0.8621004780663362,0.8817485686736634,0.16765050281560534,0.213741543826359
