Date,JKD Percent Change,IJH Percent Change,IJR Percent Change,JKF Percent Change,IJS Percent Change,ICF Percent Change,EFA Percent Change,SCZ Percent Change,EEM Percent Change,EEMS Percent Change,SHV Percent Change,IAU Percent Change
2010-01-04,,,,,,,,,,,,
2010-01-05,-0.00015432098765422175,0.002987912535651116,-0.003209700427960094,0.006972477064220328,-0.008198092688639802,0.004029936672423684,0.0008813678829544536,0.006802721088435382,0.007258253336455134,,-0.0003629764065335994,-0.0009099181073702889
2010-01-06,0.0001543448062970576,0.0052809749492213065,-0.0010733452593917336,0.004190962099125395,0.0008434547908231504,-0.00248470948012236,0.004226840436773571,0.00324324324324321,0.0020920502092049986,,9.077705156146365e-05,0.016393442622950838
2010-01-07,0.0023148148148148806,0.004983836206896575,0.007163323782234832,0.007802576664852179,0.009270183718186553,0.009388771795363127,-0.0038582953349702853,0.0008081896551723755,-0.00579911853398285,,0.0,-0.006272401433691788
2010-01-08,0.0032332563510391044,0.006299423669749338,0.0035561877667140696,-0.002340655383507473,0.004843019372077428,-0.008162490508731968,0.007922535211267734,0.008882907133243467,0.00793280447970135,,0.0003630752473449128,0.004508566275924331
2010-01-11,0.003376304481276904,-0.0018646776771443774,-0.003543586109142405,0.0070384407146724115,-0.0019943493435267134,0.006315789473684275,0.008209606986899542,0.010405549626467447,-0.002083333333333437,,0.0,0.014362657091562037
2010-01-12,-0.008259406546344272,-0.012543368027755464,-0.009246088193456625,-0.008781362007168392,-0.008992506244795972,-0.0178775199695701,-0.011781011781011763,-0.013203063110641677,-0.016005567153792533,,-9.073586788854726e-05,-0.0212389380530974
2010-01-13,0.010178901912399674,0.012567567567567606,0.011486001435750293,0.007774362683059088,0.009410183162493757,0.021882261812548487,0.008415147265077305,0.011238961734011177,0.003064592173502856,,-9.074410163345537e-05,0.009041591320072317
2010-01-14,0.0035114503816795484,0.0029360736687575884,0.004258339247693366,0.0014352350197344155,0.006159480605959722,-0.001895016107636982,0.007649513212795611,0.004763164858428093,-0.0025851938895417037,,0.0,0.0044802867383513245
2010-01-15,-0.010953902327704212,-0.01330671989354626,-0.013074204946996515,-0.01110713006091002,-0.012574454003970836,-0.008353901651794282,-0.01570048309178751,-0.009217803529101953,-0.011545711592836794,,-9.075233687261264e-05,-0.009812667261373864
2010-01-19,0.011536686663590201,0.012002697235333759,0.01754385964912286,0.011775362318840576,0.01625335120643423,0.022209458165805218,0.009815950920245342,0.009037745879851178,0.02026221692491048,,0.00018152114721359247,0.006306306306306242
2010-01-20,-0.009580291970803012,-0.0071961620469084275,-0.014074595355383579,-0.0071620411817368,-0.014344600164880372,-0.01329837048136362,-0.025516403402187082,-0.02476290832455208,-0.024065420560747564,,0.0,-0.024171888988361645
2010-01-21,-0.017964071856287345,-0.012617449664429459,-0.011777301927194839,-0.023264201983769328,-0.010204081632653073,-0.029422930903568623,-0.021375133594584983,-0.016477579686656085,-0.030165190327986702,,0.0,-0.013761467889908285
2010-01-22,-0.017979987492182548,-0.021343121261555242,-0.019862766341639637,-0.02197193500738548,-0.01774547912793656,-0.023078427537649104,-0.019475791772843087,-0.024993133754462993,-0.022216736608244858,,-0.0001814882032667997,-0.0027906976744185297
2010-01-25,0.0073236745741123155,0.001666898180302967,0.0014738393515105752,0.0033981498961677126,0.0025808671713696274,0.004004004004003914,0.012251717096714465,0.015211267605633738,0.007321383489018007,,0.00036304229442718494,0.003731343283581934
2010-01-26,-0.00616405879563775,-0.003328248509221976,-0.007726269315673329,-0.003951081843838189,-0.007894285223957409,-0.009172482552343042,-0.005684944067485875,-0.006104328523862335,-0.020802005012531266,,0.0,0.0
2010-01-27,0.0030216284987276687,0.0013914011409488225,0.010381905821282844,0.0075557234605214685,0.01089776855215363,0.007647413966592964,-0.0011066027296201542,0.0013958682300390102,-0.0025595085743537194,,-0.00036291054255122024,-0.009293680297397744
2010-01-28,-0.004122403678452513,-0.012783104071140805,-0.017981651376146712,-0.010123734533183493,-0.01848049281314168,-0.008787697223886504,-0.01680206794682415,-0.013381655979927465,-0.006928406466512604,,0.0,-0.0009380863039399889
2010-01-29,-0.009871039643368995,-0.01379310344827589,-0.009715994020926821,-0.0070075757575757125,-0.008019525801952643,-0.006246222043119087,-0.014460093896713655,-0.009889799378355546,-0.010852713178294615,,0.00036304229442718494,-0.0046948356807512415
2010-02-01,0.011899019134909095,0.014842300556586308,0.009811320754717023,0.013160404348655286,0.008084358523725799,0.02007299270072993,0.018292682926829285,0.012271689497716842,0.026907001044932155,,-0.00027218290691344293,0.02264150943396226
2010-02-02,0.01096456380104871,0.014625228519195677,0.008968609865470878,0.016001506024096335,0.007845188284518967,0.01451003776585158,0.0166541916167664,0.02142655765435575,0.008140422284405924,,0.00018150467374522528,0.007380073800737907
2010-02-03,-0.0007859163784972312,-0.004296604296604278,-0.008148148148148127,-0.008337965536409087,-0.008994983566857018,-0.015478056426332265,-0.01049144119271117,-0.007176373171404848,-0.005803684077719029,,-9.073586788854726e-05,-0.0045787545787546735
2010-02-04,-0.031304074248859504,-0.03257238307349675,-0.02987303958177745,-0.03251121076233188,-0.028626287310176357,-0.03761194029850745,-0.040736607142857095,-0.038643313872671725,-0.04517766497461928,,0.0,-0.03955841766329349
2010-02-05,0.0008119519324456537,0.002446043165467593,0.0015396458814471714,-0.002510621861722684,0.004492362982928988,0.018817204301075252,-0.0017452006980803736,-0.017351069982649014,-0.011164274322168932,,-0.0001814882032667997,0.0019157088122607746
